,mean_review_scores_rating
1,4.508083389374582
2,4.664214075010528
3,4.660904723779017
4,4.6822817899867015
5,4.706394927536237
6,4.679115384615384
7,4.655739130434783
8,4.706788990825688
9,4.824642857142856
10,4.498823529411764
11,4.9399999999999995
12,4.499666666666667
13,4.795
14,4.748571428571429
15,4.756666666666667
16,4.663720930232558
